order_date,city,id_user,item_name,price,category
08-01-2021,Chennai,854d,Spicy Fried Rice,250,rice and noodles
08-01-2021,Chennai,e846,Veg Noodles,190,rice and noodles
08-01-2021,Chennai,e846,Hummus Wrap,160,wraps and salads
08-01-2021,Chennai,e846,Mushroom Fried Rice,230,rice and noodles
08-01-2021,Chennai,e846,Veg pizza,320,international
08-01-2021,Chennai,e846,Plain Rice,80,rice and noodles
08-01-2021,Chennai,e846,Soya Chunks,220,starters
08-01-2021,Chennai,e846,Veggie Bowl,300,international
08-01-2021,Chennai,e846,Veggie Bowl,300,international
08-01-2021,Mumbai,2f47,Veggie Bowl,300,international
08-01-2021,Mumbai,3d49,Mushroom Fried Rice,230,rice and noodles
08-01-2021,Mumbai,4c49,Veg Noodles,190,rice and noodles
08-01-2021,Mumbai,4f4c,Plain Rice,80,rice and noodles
08-01-2021,Mumbai,5a40,Veg Noodles,190,rice and noodles
08-01-2021,Mumbai,244,Bread with Jam,100,bread
08-01-2021,Mumbai,224d,Soya Chunks,220,starters
08-01-2021,Mumbai,244f,Spicy Fried Rice,250,rice and noodles
08-01-2021,Mumbai,264a,Spicy Fried Rice,250,rice and noodles
08-01-2021,Mumbai,6340,Spicy Fried Rice,250,rice and noodles
08-01-2021,Mumbai,1041,Soya Chunks,220,starters
08-01-2021,Mumbai,6245,Cheese Salad,180,wraps and salads
08-01-2021,Mumbai,a649,Spicy Fried Rice,250,rice and noodles
08-01-2021,Mumbai,d242,Bread with Jam,100,bread
08-01-2021,Mumbai,df4b,Cheese Salad,180,wraps and salads
08-01-2021,Delhi,4c47,Veggie Bowl,300,international
08-01-2021,Delhi,4c47,Veggie Bowl,300,international
08-01-2021,Delhi,4f4d,Veg pizza,320,international
08-01-2021,Delhi,914e,Mushroom Fried Rice,230,rice and noodles
08-01-2021,Hyderabad,1.00E+46,Spicy Fried Rice,250,rice and noodles
08-01-2021,Hyderabad,3a46,Veg Noodles,190,rice and noodles
08-01-2021,Hyderabad,4f4a,Veg pizza,320,international
08-01-2021,Hyderabad,6b41,Veggie Bowl,300,international
08-01-2021,Hyderabad,1544,Soya Chunks,220,starters
08-01-2021,Hyderabad,914f,Cheese Salad,180,wraps and salads
08-01-2021,Hyderabad,5049,Bread with Jam,100,bread
08-01-2021,Hyderabad,1342,Plain Rice,80,rice and noodles
08-01-2021,Hyderabad,204e,Spicy Fried Rice,250,rice and noodles
08-01-2021,Hyderabad,a948,Spicy Fried Rice,250,rice and noodles
08-01-2021,Hyderabad,a548,Mushroom Fried Rice,230,rice and noodles
08-01-2021,Hyderabad,ab48,Spicy Fried Rice,250,rice and noodles
08-01-2021,Hyderabad,ab44,Veggie Bowl,300,international
08-01-2021,Hyderabad,af4e,Bread with Jam,100,bread
08-01-2021,Hyderabad,bb45,Veggie Bowl,300,international
08-01-2021,Hyderabad,c24e,Veggie Bowl,300,international
08-01-2021,Hyderabad,c243,Hummus Wrap,160,wraps and salads
08-01-2021,Kolkata,5043,Veg Noodles,190,rice and noodles
08-01-2021,Kolkata,5043,Hummus Wrap,160,wraps and salads
08-01-2021,Kolkata,5043,Mushroom Fried Rice,230,rice and noodles
08-01-2021,Kolkata,5043,Veg pizza,320,international
08-01-2021,Kolkata,5043,Bread with Jam,100,bread
08-01-2021,Kolkata,5043,Spicy Fried Rice,250,rice and noodles
08-01-2021,Kolkata,5043,Plain Rice,80,rice and noodles
08-01-2021,Kolkata,5043,Soya Chunks,220,starters
08-01-2021,Kolkata,5043,Veggie Bowl,300,international
08-01-2021,Kochi,2649,Hummus Wrap,160,wraps and salads
08-01-2021,Kochi,2649,Veg pizza,320,international
08-01-2021,Kochi,2649,Spicy Fried Rice,250,rice and noodles
08-01-2021,Kochi,2649,Soya Chunks,220,starters
08-01-2021,Bangalore,5c4d,Veggie Bowl,300,international
08-01-2021,Bangalore,6a46,Veggie Bowl,300,international
08-01-2021,Bangalore,784b,Cheese Salad,180,wraps and salads
08-01-2021,Bangalore,a448,Soya Chunks,220,starters
08-01-2021,Bangalore,c544,Bread with Jam,100,bread
08-01-2021,Bangalore,e947,Mushroom Fried Rice,230,rice and noodles
08-01-2021,Bangalore,fb40,Veggie Bowl,300,international
08-01-2021,Mysore,0e4a,Mushroom Fried Rice,230,rice and noodles
08-01-2021,Mysore,0f4a,Cheese Salad,180,wraps and salads
08-01-2021,Mysore,0f4a,Hummus Wrap,160,wraps and salads
08-01-2021,Mysore,2a4d,Veggie Bowl,300,international
08-01-2021,Mysore,3b4a,Spicy Fried Rice,250,rice and noodles
08-01-2021,Mysore,4a42,Plain Rice,80,rice and noodles
08-01-2021,Mysore,4b40,Spicy Fried Rice,250,rice and noodles
08-01-2021,Mysore,5.00E+49,Veggie Bowl,300,international
08-01-2021,Mysore,6a46,Mushroom Fried Rice,230,rice and noodles
08-01-2021,Mysore,6.00E+40,Mushroom Fried Rice,230,rice and noodles
08-01-2021,Mysore,6.00E+40,Soya Chunks,220,starters
08-01-2021,Mysore,7d40,Cheese Salad,180,wraps and salads
08-01-2021,Mysore,9c43,Cheese Salad,180,wraps and salads
08-01-2021,Mysore,9c43,Veg pizza,320,international
08-01-2021,Mysore,1344,Bread with Jam,100,bread
08-01-2021,Mysore,884c,Veg Noodles,190,rice and noodles
08-01-2021,Mysore,924d,Bread with Jam,100,bread
08-01-2021,Mysore,3446,Cheese Salad,180,wraps and salads
08-01-2021,Mysore,a94c,Spicy Fried Rice,250,rice and noodles
08-01-2021,Mysore,a94c,Plain Rice,80,rice and noodles
